 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[900521355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[900689355] kistler:   -0.04882 Nm	kollmorgen:    0.15792 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[900857355] kistler:   -0.04882 Nm	kollmorgen:    0.15792 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[901025355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[901193355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[901361355] kistler:   -0.02441 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[901529355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[901697355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[901865355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[902033355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[902201355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[902369355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[902537355] kistler:   -0.02441 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[902705355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[902873355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[903041355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[903209355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[903377355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
